time="2017-09-29T07:38:29.971861643Z" level=debug msg="Listener created for HTTP on unix (/var/run/docker.sock)"
time="2017-09-29T07:38:29.973612833Z" level=info msg="libcontainerd: new containerd process, pid: 19780"
time="2017-09-29T07:38:29.987496719Z" level=warning msg="containerd: low RLIMIT_NOFILE changing to max" current=1024 max=65536 
time="2017-09-29T07:38:29.987898762Z" level=debug msg="containerd: read past events" count=0 
time="2017-09-29T07:38:29.988015554Z" level=debug msg="containerd: supervisor running" cpus=2 memory=6966 runtime=docker-runc runtimeArgs=[] stateDir="/var/run/docker/libcontainerd/containerd" 
time="2017-09-29T07:38:29.988766302Z" level=debug msg="containerd: grpc api on /var/run/docker/libcontainerd/docker-containerd.sock" 
time="2017-09-29T07:38:31.027925822Z" level=debug msg="Loaded container 3406ae538bfbee83ebc81ff755a90d0267a45821c19075242d8d2efe2cb0559a"
time="2017-09-29T07:38:31.028162141Z" level=debug msg="Loaded container 34e7cb4b6d2ae41a8e8ac423467c119a4dda68980eabd2e8a02e13994b09e8ba"
time="2017-09-29T07:38:31.028387907Z" level=debug msg="Loaded container 3527b8f99339e6082c1ac2ae12feef8700639888c80fc3191fb7140cdec9af93"
time="2017-09-29T07:38:31.028650068Z" level=debug msg="Loaded container 352f1ff48d76cf93621ad12f8aa6113000191db8b8ed91a730aa04f71d772876"
time="2017-09-29T07:38:31.028913510Z" level=debug msg="Loaded container 363c18eae794b5d2bbe4a649ef47c4336af2691841e7f555bc9bab4f2b4c1339"
time="2017-09-29T07:38:31.029146180Z" level=debug msg="Loaded container 374c212eaa617b97e0d9f7c37ed4b7a797e14cdf36ecfcb2ca1a38ae58674837"
time="2017-09-29T07:38:31.029383387Z" level=debug msg="Loaded container 385735f4f2255b1f78ed389b5507fdba6bd4980aacea2302043ddd1643e8b230"
time="2017-09-29T07:38:31.029667148Z" level=debug msg="Loaded container 3b2b2a8a4714d153ecf7763e9cc7e73d47049cf22c3a30cb3fcf1f6a469a7d3f"
time="2017-09-29T07:38:31.029956630Z" level=debug msg="Loaded container 3d8754b1492276afac15d6284e86ecda9d82d0e3a05ec9150599d526e5e69eaa"
time="2017-09-29T07:38:31.030209223Z" level=debug msg="Loaded container 3da2e79bfd637437a4ae5682d7f036947c78f1b5614c87cbb3a70768c94a12a8"
time="2017-09-29T07:38:31.030437257Z" level=debug msg="Loaded container 3dbd5e975ba4406b14be70dcd3395d15f163885c9255d6b813adb0c6c081c65a"
time="2017-09-29T07:38:31.030720130Z" level=debug msg="Loaded container 3f087dbcf697a7e54e1661afe5417be68f041bc4e06e2493b8a0470f7b35624d"
time="2017-09-29T07:38:31.030976176Z" level=debug msg="Loaded container 409098258f2f9fc258a4a3ea41af491e611e19360290be538f30fa2b92139d81"
time="2017-09-29T07:38:31.031222950Z" level=debug msg="Loaded container 40e517697e914e85b1aacdaf8be1bec367bec3cd1cdfb04d31cf692bdf4492b4"
time="2017-09-29T07:38:31.031450097Z" level=debug msg="Loaded container 41e4b31def053fc2698c3a787d682b4c691d1ea93e291794e17dd7b4f354fd9a"
time="2017-09-29T07:38:31.031722022Z" level=debug msg="Loaded container 41e7fc69b2a87b2563ed655816868ff3ece02381fbb7bb8b4882c21eaf7282c9"
time="2017-09-29T07:38:31.031985267Z" level=debug msg="Loaded container 444942707b3d75702f70cd36e798dd92aa8c3758a1c674ed031027f75459504f"
time="2017-09-29T07:38:31.032245653Z" level=debug msg="Loaded container 45a46cccbce09d9617c90dede73e1cc90007e3601e3693542ce5730f8001c0e3"
time="2017-09-29T07:38:31.032481676Z" level=debug msg="Loaded container 468ad66d163ddc9b899e45d900ffc33d2a36b049b9006ff86bfc80f26001acf9"
time="2017-09-29T07:38:31.032787727Z" level=debug msg="Loaded container 472d06888b090da2ca042990b9186fe212d8edb2dbcf4e36387161bc88c0da73"
time="2017-09-29T07:38:31.033046436Z" level=debug msg="Loaded container 4735785e48fdffc09f20c12746b4d8587811c27376441965afae2fac05a57e1a"
time="2017-09-29T07:38:31.033281670Z" level=debug msg="Loaded container 47f96a5a1a1ce4753b4a890cb6d0bbf290498f23b490cf0f31e50d2aff7e789b"
time="2017-09-29T07:38:31.033580719Z" level=debug msg="Loaded container 4c5a744778ed671c5ccd2a1499819a02aeabea6a317232db3208929fd224e318"
time="2017-09-29T07:38:31.033876019Z" level=debug msg="Loaded container 4d29e12745a3e82568a60cedd85a0b19e18d9895313d5bd6c7a755f348074b69"
